"","Player","Nation","Age","Pos","Born","Squad","Comp","MP","Starts","Min","90s","CrdY","CrdR","npxG+xAG","G+A.1","G-PK.1","G+A-PK","xG+xAG","Gls.y","Sh.x","SoT%","SoT/90","G/Sh","G/SoT","Dist","FK.x","PKatt.y","xG.y","npxG.y","npxG/Sh","G-xG","np:G-xG","Cmp%","TotDist.x","PrgDist.x","Cmp.1","Att.1","Cmp%.1","Cmp.2","Att.2","Cmp%.2","Cmp.3","Att.3","Cmp%.3","Ast.y","xAG.y","xA","A-xAG","KP","1/3.x","PPA","CrsPA","PrgP.y","Att.y","Live.x","Dead","FK.y","TB","Sw","Crs","TI","CK","In","Out","Str","Cmp.y","Off","Blocks.x","SCA","PassLive","PassDead","TO","Sh.y","Fld","Def","GCA90","PassLive.1","PassDead.1","TO.1","Sh.1","Fld.1","Def.1","Tkl","TklW","Def 3rd.x","Mid 3rd.x","Att 3rd.x","Tkl.1","Att.x.x","Tkl%","Lost","Blocks.y","Sh","Pass","Int","Tkl+Int","Clr","Err","Def Pen","Def 3rd.y","Mid 3rd.y","Att 3rd.y","Att Pen","Live.y","Att.y.y","Succ","Succ%","Tkld","Tkld%","Carries","TotDist.y","PrgDist.y","PrgC.y","1/3.y","CPA","Mis","Dis","Rec","PrgR.y"
"1","Max Aarons","ENG",21,"DF",2000,"Norwich City","eng Premier League",34,32,2881,32,0.25,0,0.08,0.06,0,0.06,0.08,0,0.41,15.4,0.06,0,0,19.9,0,0,0.03,0.03,0.06,-0.03,-0.03,75.4,518.4,191.7,20.2,22.3,90.5,12,16,75,1.78,5,35.6,0.06,0.05,0.05,0.01,0.63,1.56,1.16,0.28,3.66,45.9,35.3,10.4,0.53,0.16,0.13,1.56,9.84,0,0,0,0,34.6,0.22,1.25,1.44,1.06,0.09,0.06,0.09,0.09,0.03,0.09,0.09,0,0,0,0,0,2,1.38,1.53,0.47,0,1.16,1.72,67.3,0.56,1.22,0.59,0.63,0.88,2.88,3,0.03,5,22.5,22,13.8,0.72,57.5,2.13,1.06,50,1.06,50,29.8,201.7,105.5,2.44,1.47,0.38,1.19,0.72,32.2,2.66
"2","Yunis Abdelhamid","MAR",33,"DF",1987,"Reims","fr Ligue 1",34,34,2983,33.1,0.15,0.03,0.06,0.06,0.06,0.06,0.06,0.06,0.54,33.3,0.18,0.11,0.33,18.3,0,0,0.04,0.04,0.07,0.02,0.02,81.4,770.9,289.6,12.5,14.2,88.5,21.6,23.8,90.9,4.38,8.04,54.5,0,0.02,0.02,-0.02,0.27,2.87,0.21,0,3.6,47.7,44.4,3.05,2.69,0,0.97,0.12,0.27,0,0,0,0,38.8,0.18,0.79,0.66,0.51,0,0.06,0.03,0,0.06,0.03,0.03,0,0,0,0,0,1.45,0.82,1.03,0.42,0,0.48,0.97,50,0.48,1.51,0.76,0.76,2.05,3.5,3.14,0,6.4,30.7,25.5,2.54,0.73,58,0.54,0.42,77.8,0.12,22.2,36.1,194.9,107.5,0.69,0.57,0,0.85,0.39,36.3,0.42
"3","Salis Abdul Samed","GHA",21,"MF",2000,"Clermont Foot","fr Ligue 1",31,29,2462,27.4,0.44,0.11,0.06,0.04,0.04,0.04,0.06,0.04,0.66,27.8,0.18,0.06,0.2,21.5,0,0,0.03,0.03,0.04,0.01,0.01,90.2,931.3,199.1,27.3,29.4,92.9,23.9,25.5,93.7,3.94,4.71,83.7,0,0.03,0.03,-0.03,0.62,3.18,0.47,0.04,3.94,62.1,61.2,0.77,0.62,0.04,0.11,0.51,0.15,0,0,0,0,56,0.07,1.06,1.82,1.5,0,0,0.15,0.15,0.04,0.11,0.11,0,0,0,0,0,1.57,0.84,0.91,0.58,0.07,0.73,2.08,35.1,1.35,0.66,0.04,0.62,1.53,3.1,0.55,0,1.42,20.3,41.8,9.53,0.58,71.1,1.5,0.95,63.4,0.55,36.6,50.6,239.8,98.1,0.88,0.84,0.11,1.53,1.09,54.1,1.72
"4","Laurent Abergel","FRA",28,"MF",1993,"Lorient","fr Ligue 1",34,34,2956,32.8,0.27,0,0.16,0.06,0,0.06,0.16,0,0.88,24.1,0.21,0,0,24.2,0,0,0.05,0.05,0.05,-0.05,-0.05,80.8,724.6,208.4,18.5,20.7,89.2,16.3,18.9,86.3,4.63,7.2,64.4,0.06,0.11,0.08,-0.05,1.07,4.48,0.7,0.27,5.21,50.6,49.3,1.07,0.76,0.21,0.64,1.13,0.24,0.06,0,0.03,0,40.9,0.24,1.49,2.53,2.04,0.06,0.09,0.03,0.21,0.09,0.27,0.24,0,0,0,0.03,0,3.35,1.83,1.34,1.62,0.4,2.16,5.06,42.8,2.9,1.77,0.03,1.74,1.68,5.03,0.4,0,0.73,12.3,39.6,10.9,0.4,62,1.86,1.19,63.9,0.67,36.1,40,171.6,71.7,0.91,1.19,0.09,1.59,1.22,43,2.23
"5","Dickson Abiama","NGA",22,"FW",1998,"Greuther Fürth","de Bundesliga",24,5,726,8.1,0.37,0,0.4,0.12,0,0.12,0.39,0,2.22,22.2,0.5,0,0,16.7,0,0,0.22,0.22,0.1,-0.22,-0.22,61.3,124.6,34.3,6.54,9.63,67.9,2.84,4.44,63.9,0.12,0.37,33.3,0.12,0.16,0.07,-0.04,0.86,0.62,0.74,0,2.1,16.9,15.9,0.74,0,0.25,0,0.37,0,0,0,0,0,10.4,0.25,0.74,1.85,1.23,0,0,0.25,0.25,0.12,0.25,0.12,0,0,0.12,0,0,1.36,0.86,0.49,0.62,0.25,0.25,1.23,20,0.99,1.48,0.12,1.36,0.49,1.85,0.99,0,0.74,2.96,13.3,14.2,2.84,30.4,2.47,0.86,35,1.6,65,16.2,77.7,32.8,1.73,0.62,0.74,3.58,1.23,19.8,4.69
"6","Tammy Abraham","ENG",23,"FW",1997,"Roma","it Serie A",37,36,3084,34.3,0.26,0,0.68,0.61,0.41,0.53,0.74,0.5,2.68,38,1.02,0.15,0.4,12.9,0.09,0.09,0.6,0.54,0.2,-0.11,-0.13,69.7,198.8,47.3,8.54,11.7,73.1,3.91,5.25,74.4,0.82,1.14,71.8,0.12,0.14,0.07,-0.02,1.11,1.02,0.79,0.09,2.04,20.3,18.3,1.95,0.17,0.15,0.03,0.47,0.06,0,0,0,0,14.1,0.06,0.58,2.74,1.81,0.03,0.17,0.5,0.2,0.03,0.41,0.17,0,0.06,0.09,0.09,0,0.79,0.38,0.2,0.41,0.17,0.26,0.64,40.9,0.38,0.5,0.09,0.41,0.15,0.93,0.79,0,0.93,2.13,14.8,14.4,5.04,30.9,2.24,1.11,49.4,1.14,50.6,14.4,75.6,32.9,1.2,0.9,0.64,2.51,1.2,21.5,5.8
"7","Luis Abram","PER",25,"DF",1996,"Granada","es La Liga",8,6,560,6.2,0.32,0,0.05,0,0,0,0.05,0,0.32,0,0,0,0,9,0,0,0.05,0.05,0.14,-0.05,-0.05,84.5,591.3,189.8,9.03,10.8,83.6,18.2,19.2,95,2.9,4.52,64.3,0,0,0,0,0,1.29,0,0,1.61,36.5,34.8,1.45,0.81,0,0,0,0.32,0,0,0,0,30.8,0.16,0.65,0.48,0.16,0,0,0.32,0,0,0.16,0,0,0,0.16,0,0,0.97,0.48,0.48,0.48,0,0.32,0.65,50,0.32,0.97,0.81,0.16,0.81,1.77,5.97,0.16,7.26,28.7,17.1,0.81,0.65,46.1,0,0,0,0,0,24,122.6,78.5,0.16,0,0,0,0,29,0.16
"8","Francesco Acerbi","ITA",33,"DF",1988,"Lazio","it Serie A",30,29,2536,28.2,0.07,0.04,0.1,0.14,0.14,0.14,0.1,0.14,0.53,46.7,0.25,0.27,0.57,10.8,0,0,0.09,0.09,0.16,0.06,0.06,89.9,1241,435.2,24,25.9,92.7,32.6,34.3,94.9,7.48,10.5,71.3,0,0.02,0.03,-0.02,0.18,4.22,0.21,0,4.22,72.4,69.3,3.09,2.73,0.04,1.21,0.11,0.04,0,0,0,0,65.1,0.04,0.21,0.6,0.46,0.04,0,0.04,0.07,0,0.07,0.04,0,0,0,0.04,0,0.89,0.43,0.53,0.32,0.04,0.43,0.67,63.2,0.25,1.31,0.99,0.32,1.21,2.09,3.26,0,9.5,39.1,40.5,2.09,0.78,81.4,0.21,0.14,66.7,0.07,33.3,48.4,244.4,152.5,1.1,0.67,0,0.46,0.14,58.2,0.35
"9","Marcos Acuña","ARG",29,"DF",1991,"Sevilla","es La Liga",31,26,2260,25.1,0.4,0,0.16,0.16,0.04,0.16,0.16,0.04,0.64,31.3,0.2,0.06,0.2,21.7,0.04,0,0.05,0.05,0.08,-0.01,-0.01,78.6,1168.4,406.6,26.4,28.8,91.7,25.5,30.6,83.4,8.73,15.6,55.9,0.12,0.12,0.16,0,1.71,4.58,1.71,1.08,5.22,78.2,64.7,13.3,2.51,0.12,1.2,7.09,9.16,1.59,0,1.24,0,61.5,0.24,1.2,2.99,1.91,0.76,0.08,0.12,0.12,0,0.12,0.04,0.08,0,0,0,0,1.99,1.16,1.08,0.56,0.36,1.2,1.83,65.2,0.64,0.88,0.2,0.68,0.56,2.55,1,0.04,2.15,25.4,38.2,24.6,0.76,87,2.63,1.75,66.7,0.88,33.3,50,249.1,151.4,2.91,2.31,0.08,1.51,1.08,58.4,6.1
"10","Che Adams","SCO",25,"FW",1996,"Southampton","eng Premier League",30,23,2039,22.7,0,0,0.44,0.44,0.31,0.44,0.45,0.31,2.16,49,1.06,0.14,0.29,13.3,0,0,0.31,0.31,0.15,0,0,64.4,184.5,44.8,8.28,11.3,73.4,3.22,4.67,68.9,0.79,1.5,52.9,0.13,0.13,0.07,0,1.15,1.06,0.44,0,1.45,20.8,20.6,0.09,0,0.18,0.22,0.35,0.04,0,0,0,0,13.4,0.09,0.97,2.25,1.41,0,0.09,0.18,0.48,0.09,0.22,0.13,0,0.04,0,0,0.04,0.57,0.26,0.22,0.22,0.13,0.09,0.7,12.5,0.62,0.79,0.09,0.7,0.35,0.93,0.79,0,0.97,3.57,12.9,15.2,4.14,31.4,1.54,0.88,57.1,0.66,42.9,17.4,79.5,28.7,0.84,0.57,0.57,2.6,1.5,23.7,6.74
