"","Var","Meaning"
"1","1/3.x","Passes into Final Third"
"2","1/3.y","Carries into Final Third"
"3","90s","Minutes played divided by 90"
"4","A-xAG","Assists minus Expected Goals Assisted"
"5","Age","Player's age"
"6","Ast.y","Assists"
"7","Att 3rd.x","Tackles in attacking 1/3"
"8","Att 3rd.y","Touches (Att 3rd)"
"9","Att Pen","Touches (Att Pen)"
"10","Att.1","Passes Attempted (Short)"
"11","Att.2","Passes Attempted (Medium)"
"12","Att.3"," Passes Attempted (Long)"
"13","Att.x.x","Dribbles Challenged"
"14","Att.y","Passes Attempted"
"15","Att.y.y","Take-Ons Attempted"
"16","Blocks.x","Passes Blocked"
"17","Blocks.y","Number of times blocking the ball"
"18","Born","Year of birth"
"19","CK","Corner kicks"
"20","CPA","Carries into Penalty Area"
"21","Carries","Number of times the player controlled the ball"
"22","Clr","Clearances"
"23","Cmp%","Pass Completion Percentage"
"24","Cmp%.1","Pass Completion % (Short)"
"25","Cmp%.2","Pass Completion % (Medium)"
"26","Cmp%.3"," Passes Completed % (Long)"
"27","Cmp.1","Passes Completed (Short)"
"28","Cmp.2","Passes Completed (Medium)"
"29","Cmp.3"," Passes Completed (Long)"
"30","Cmp.y","Passes Completed"
"31","Comp","League that squat occupies"
"32","CrdR","Red cards"
"33","CrdY","Yellow cards"
"34","Crs","Crosses"
"35","CrsPA","Crosses into Penalty Area"
"36","Dead","Dead-ball passes"
"37","Def","SCA Defensive Action"
"38","Def 3rd.x","Tackles in defensive 1/3"
"39","Def 3rd.y","Touches (Def 3rd)"
"40","Def Pen","Touches (Def Pen)"
"41","Def.1","GCA Defensive Actions"
"42","Dis","Dispossessed"
"43","Dist","Average Shot Distance"
"44","Err","Mistakes leading to an opponent's shot"
"45","FK.x","Shots from free kicks"
"46","FK.y","Passes from Free Kicks"
"47","Fld","SCA Fouls Drawn"
"48","Fld.1","GCA Fouls Drawn"
"49","G+A-PK","Goals plus Assists minus Penalty Kicks made"
"50","G+A.1","Goals and Assists"
"51","G-PK.1","Goals minus Penalty Kicks made"
"52","G-xG","Goals minus Expected Goals"
"53","G/Sh","Goals per shot"
"54","G/SoT","Goals per shot on target"
"55","GCA90","Goal-Creating Actions"
"56","Gls.y","Goals"
"57","In","Inswinging Corner Kicks"
"58","Int","Interceptions"
"59","KP","Key Passes"
"60","Live.x","Live-ball passes"
"61","Live.y","Touches (Live-Ball)"
"62","Lost","Challenges Lost"
"63","MP","Matches played"
"64","Mid 3rd.x","Tackles in middle 1/3"
"65","Mid 3rd.y","Touches (Mid 3rd)"
"66","Min","Minutes played"
"67","Mis","Miscontrols"
"68","Nation","Player's nation"
"69","Off","Passes Offside"
"70","Out","Outswinging Corner Kicks"
"71","PKatt.y","Penalty Kicks Attempted"
"72","PPA","Passes into Penalty Area"
"73","Pass","Passes Blocked"
"74","PassDead","SCA Dead-ball Passes"
"75","PassDead.1","GCA Dead-ball Passes"
"76","PassLive","SCA Live-ball Passes"
"77","PassLive.1","GCA Live-ball Passes"
"78","Player","Player's name"
"79","Pos","Position"
"80","PrgC.y","Progressive Carries"
"81","PrgDist.x","Progressive Passing Distance"
"82","PrgDist.y","Progressive Carrying Distance"
"83","PrgP.y","Progressive Passes"
"84","PrgR.y","Progressive Passes Received"
"85","Rec","Passes Received"
"86","SCA","Shot-creating Actions"
"87","Sh","Shots Blocked"
"88","Sh.1","GCA Shots"
"89","Sh.x","Shots total"
"90","Sh.y","SCA Shots"
"91","SoT%","Shots on target percentage"
"92","SoT/90","Shots on target"
"93","Squad","Squad’s name"
"94","Starts","Matches started"
"95","Str","Straight Corner Kicks"
"96","Succ","Successful Take-Ons"
"97","Succ%","Successful Take-On %"
"98","Sw","Switches"
"99","TB","Through Balls"
"100","TI","Throw-Ins taken"
"101","TO","SCA Take-ons"
"102","TO.1","GCA Take-ons"
"103","Tkl","Tackles"
"104","Tkl%","Percentage of dribblers tackled"
"105","Tkl+Int","Number of players tackled plus interceptions"
"106","Tkl.1","Dribblers Tackled"
"107","TklW","Tackles Won"
"108","Tkld","Times Tackled During Take-On"
"109","Tkld%","Tackled During Take-On Percentage"
"110","TotDist.x","Total Passing Distance"
"111","TotDist.y","Total Carrying Distance"
"112","np:G-xG","Non-Penalty (Goals minus Expected Goals)"
"113","npxG+xAG","Non-Penalty Expected Goals plus Assisted Goals"
"114","npxG.y","Non-Penalty Expected Goals"
"115","npxG/Sh","Non-Penalty Expected Goals per shot"
"116","xA","Expected Assists"
"117","xAG.y","Expected Assisted Goals"
"118","xG+xAG","Expected Goals plus Assisted Goals"
"119","xG.y","Expected Goals"
"120","",""
