"","cluster","nei","min_d","ncom","name","value"
"1",1,3,0,3,"sil",0
"2",1,3,0,3,"db",0
"3",1,3,0,3,"ch",0
"4",2,3,0,3,"sil",0.405929579467141
"5",2,3,0,3,"db",1.0780264729149
"6",2,3,0,3,"ch",1389.17639017469
"7",3,3,0,3,"sil",0.525317433163918
"8",3,3,0,3,"db",0.673020477457181
"9",3,3,0,3,"ch",1908.01463746422
"10",4,3,0,3,"sil",0.527519696071696
"11",4,3,0,3,"db",0.894236196723747
"12",4,3,0,3,"ch",1863.10389068805
"13",5,3,0,3,"sil",0.409815233296603
"14",5,3,0,3,"db",0.858360894341656
"15",5,3,0,3,"ch",1816.71512685974
"16",6,3,0,3,"sil",0.425946697347958
"17",6,3,0,3,"db",0.713946564214823
"18",6,3,0,3,"ch",1902.6869472139
"19",7,3,0,3,"sil",0.466631471151943
"20",7,3,0,3,"db",0.748961715140808
"21",7,3,0,3,"ch",1895.65997429006
"22",8,3,0,3,"sil",0.467484491321391
"23",8,3,0,3,"db",0.672635224090248
"24",8,3,0,3,"ch",1969.29523533895
"25",9,3,0,3,"sil",0.452397270372426
"26",9,3,0,3,"db",0.642224016814792
"27",9,3,0,3,"ch",2433.62484686014
"28",10,3,0,3,"sil",0.476606974596032
"29",10,3,0,3,"db",0.6495351243161
"30",10,3,0,3,"ch",2555.2691261927
"31",1,3,0.1,3,"sil",0
"32",1,3,0.1,3,"db",0
"33",1,3,0.1,3,"ch",0
"34",2,3,0.1,3,"sil",0.394551201439365
"35",2,3,0.1,3,"db",1.1358415280055
"36",2,3,0.1,3,"ch",1170.99097702157
"37",3,3,0.1,3,"sil",0.398507872649664
"38",3,3,0.1,3,"db",1.00876281390334
"39",3,3,0.1,3,"ch",1315.85604331131
"40",4,3,0.1,3,"sil",0.464412541415619
"41",4,3,0.1,3,"db",0.811014588510391
"42",4,3,0.1,3,"ch",1546.97767104904
"43",5,3,0.1,3,"sil",0.423906929904268
"44",5,3,0.1,3,"db",0.806097434298131
"45",5,3,0.1,3,"ch",1605.60279059122
"46",6,3,0.1,3,"sil",0.490899245637921
"47",6,3,0.1,3,"db",0.692752219377253
"48",6,3,0.1,3,"ch",1750.74959547614
"49",7,3,0.1,3,"sil",0.395407821056045
"50",7,3,0.1,3,"db",0.761291157773392
"51",7,3,0.1,3,"ch",1662.92649505506
"52",8,3,0.1,3,"sil",0.459923131380905
"53",8,3,0.1,3,"db",0.679454958290009
"54",8,3,0.1,3,"ch",1741.13085926575
"55",9,3,0.1,3,"sil",0.432922126721013
"56",9,3,0.1,3,"db",0.790681378875443
"57",9,3,0.1,3,"ch",1733.88498526069
"58",10,3,0.1,3,"sil",0.420784850373164
"59",10,3,0.1,3,"db",0.742949838705153
"60",10,3,0.1,3,"ch",1879.36172040542
"61",1,3,0.25,3,"sil",0
"62",1,3,0.25,3,"db",0
"63",1,3,0.25,3,"ch",0
"64",2,3,0.25,3,"sil",0.344222460438254
"65",2,3,0.25,3,"db",1.22791520009462
"66",2,3,0.25,3,"ch",1090.34822287033
"67",3,3,0.25,3,"sil",0.426327085109069
"68",3,3,0.25,3,"db",0.841737375167697
"69",3,3,0.25,3,"ch",1423.41942906889
"70",4,3,0.25,3,"sil",0.422004129488049
"71",4,3,0.25,3,"db",1.06883948059403
"72",4,3,0.25,3,"ch",1365.59550042302
"73",5,3,0.25,3,"sil",0.405955241115227
"74",5,3,0.25,3,"db",0.910790928266375
"75",5,3,0.25,3,"ch",1420.02971242086
"76",6,3,0.25,3,"sil",0.417718828764379
"77",6,3,0.25,3,"db",0.942704798498601
"78",6,3,0.25,3,"ch",1342.68958870253
"79",7,3,0.25,3,"sil",0.376423604284665
"80",7,3,0.25,3,"db",0.847404926191019
"81",7,3,0.25,3,"ch",1338.81739054781
"82",8,3,0.25,3,"sil",0.329441829451757
"83",8,3,0.25,3,"db",0.851124779396032
"84",8,3,0.25,3,"ch",1333.50103929312
"85",9,3,0.25,3,"sil",0.367922172432694
"86",9,3,0.25,3,"db",0.854442189678026
"87",9,3,0.25,3,"ch",1335.19498510142
"88",10,3,0.25,3,"sil",0.395163661440121
"89",10,3,0.25,3,"db",0.783884475131074
"90",10,3,0.25,3,"ch",1343.91304022878
"91",1,3,0.5,3,"sil",0
"92",1,3,0.5,3,"db",0
"93",1,3,0.5,3,"ch",0
"94",2,3,0.5,3,"sil",0.315078910302515
"95",2,3,0.5,3,"db",1.28557219850451
"96",2,3,0.5,3,"ch",1029.93086289091
"97",3,3,0.5,3,"sil",0.360458642298408
"98",3,3,0.5,3,"db",0.976037041827601
"99",3,3,0.5,3,"ch",1212.16786446098
"100",4,3,0.5,3,"sil",0.334888631459043
"101",4,3,0.5,3,"db",1.10935295938122
"102",4,3,0.5,3,"ch",1189.28558608882
"103",5,3,0.5,3,"sil",0.358804309079641
"104",5,3,0.5,3,"db",0.971555868942869
"105",5,3,0.5,3,"ch",1230.52208340663
"106",6,3,0.5,3,"sil",0.31585124623791
"107",6,3,0.5,3,"db",1.04850697427712
"108",6,3,0.5,3,"ch",1136.86698068612
"109",7,3,0.5,3,"sil",0.317449219735713
"110",7,3,0.5,3,"db",1.08190811176726
"111",7,3,0.5,3,"ch",1084.78969323136
"112",8,3,0.5,3,"sil",0.302760571639052
"113",8,3,0.5,3,"db",1.05484456539885
"114",8,3,0.5,3,"ch",1045.35708856621
"115",9,3,0.5,3,"sil",0.293354928011592
"116",9,3,0.5,3,"db",1.12150182729436
"117",9,3,0.5,3,"ch",1014.79280832912
"118",10,3,0.5,3,"sil",0.284990438434079
"119",10,3,0.5,3,"db",1.09292175052354
"120",10,3,0.5,3,"ch",997.738164823164
"121",1,3,0.8,3,"sil",0
"122",1,3,0.8,3,"db",0
"123",1,3,0.8,3,"ch",0
"124",2,3,0.8,3,"sil",0.304618504675113
"125",2,3,0.8,3,"db",1.32535718194258
"126",2,3,0.8,3,"ch",977.232944486487
"127",3,3,0.8,3,"sil",0.295057355102115
"128",3,3,0.8,3,"db",1.06608835513907
"129",3,3,0.8,3,"ch",954.181610569791
"130",4,3,0.8,3,"sil",0.305806257377289
"131",4,3,0.8,3,"db",1.10659332198768
"132",4,3,0.8,3,"ch",1009.9262956972
"133",5,3,0.8,3,"sil",0.32142735647831
"134",5,3,0.8,3,"db",1.0282110836177
"135",5,3,0.8,3,"ch",1017.57385072839
"136",6,3,0.8,3,"sil",0.310788624194572
"137",6,3,0.8,3,"db",1.04939002003957
"138",6,3,0.8,3,"ch",948.018654228368
"139",7,3,0.8,3,"sil",0.288117969315747
"140",7,3,0.8,3,"db",1.12421084872042
"141",7,3,0.8,3,"ch",911.737990979208
"142",8,3,0.8,3,"sil",0.292628856514213
"143",8,3,0.8,3,"db",1.03695008266985
"144",8,3,0.8,3,"ch",873.122477595918
"145",9,3,0.8,3,"sil",0.269332851920234
"146",9,3,0.8,3,"db",1.07356461374863
"147",9,3,0.8,3,"ch",840.199104628084
"148",10,3,0.8,3,"sil",0.255975955091992
"149",10,3,0.8,3,"db",1.11632650988958
"150",10,3,0.8,3,"ch",833.763791099675
"151",1,3,0.99,3,"sil",0
"152",1,3,0.99,3,"db",0
"153",1,3,0.99,3,"ch",0
"154",2,3,0.99,3,"sil",0.296837225545629
"155",2,3,0.99,3,"db",1.35051939331965
"156",2,3,0.99,3,"ch",941.48764391333
"157",3,3,0.99,3,"sil",0.268797827494254
"158",3,3,0.99,3,"db",1.14268242559336
"159",3,3,0.99,3,"ch",891.696344179592
"160",4,3,0.99,3,"sil",0.291547407268528
"161",4,3,0.99,3,"db",1.11676517190275
"162",4,3,0.99,3,"ch",944.137537578873
"163",5,3,0.99,3,"sil",0.311585668778144
"164",5,3,0.99,3,"db",1.01926575881891
"165",5,3,0.99,3,"ch",973.522472526137
"166",6,3,0.99,3,"sil",0.29096851183699
"167",6,3,0.99,3,"db",1.08090118705185
"168",6,3,0.99,3,"ch",896.210644746108
"169",7,3,0.99,3,"sil",0.279110004458315
"170",7,3,0.99,3,"db",1.12499573368103
"171",7,3,0.99,3,"ch",859.595755313939
"172",8,3,0.99,3,"sil",0.278037554388891
"173",8,3,0.99,3,"db",1.08010823224873
"174",8,3,0.99,3,"ch",831.702130400874
"175",9,3,0.99,3,"sil",0.25407494360519
"176",9,3,0.99,3,"db",1.0932884485712
"177",9,3,0.99,3,"ch",804.753425409418
"178",10,3,0.99,3,"sil",0.258750801209347
"179",10,3,0.99,3,"db",1.05048328830201
"180",10,3,0.99,3,"ch",788.785034274767
"181",1,5,0,3,"sil",0
"182",1,5,0,3,"db",0
"183",1,5,0,3,"ch",0
"184",2,5,0,3,"sil",0.386803036605141
"185",2,5,0,3,"db",1.12450241943896
"186",2,5,0,3,"ch",1209.64104543354
"187",3,5,0,3,"sil",0.550169745752159
"188",3,5,0,3,"db",0.662975811408224
"189",3,5,0,3,"ch",2062.44753495314
"190",4,5,0,3,"sil",0.56944438207516
"191",4,5,0,3,"db",0.708957059162257
"192",4,5,0,3,"ch",2329.80367024043
"193",5,5,0,3,"sil",0.535163088225286
"194",5,5,0,3,"db",0.5811744154744
"195",5,5,0,3,"ch",2987.86615963679
"196",6,5,0,3,"sil",0.476827804710323
"197",6,5,0,3,"db",0.757083652898268
"198",6,5,0,3,"ch",3055.59978000812
"199",7,5,0,3,"sil",0.437146958647883
"200",7,5,0,3,"db",0.695580097700694
"201",7,5,0,3,"ch",3146.65349497046
"202",8,5,0,3,"sil",0.491245502621911
"203",8,5,0,3,"db",0.716910603844332
"204",8,5,0,3,"ch",3370.07787448062
"205",9,5,0,3,"sil",0.446898380076099
"206",9,5,0,3,"db",0.720915124808919
"207",9,5,0,3,"ch",3431.17472120057
"208",10,5,0,3,"sil",0.415541388907754
"209",10,5,0,3,"db",0.775513970199394
"210",10,5,0,3,"ch",3497.810146466
"211",1,5,0.1,3,"sil",0
"212",1,5,0.1,3,"db",0
"213",1,5,0.1,3,"ch",0
"214",2,5,0.1,3,"sil",0.404150556912173
"215",2,5,0.1,3,"db",0.962310525661709
"216",2,5,0.1,3,"ch",1128.45505985029
"217",3,5,0.1,3,"sil",0.410625080380756
"218",3,5,0.1,3,"db",0.931975185707128
"219",3,5,0.1,3,"ch",1393.439663141
"220",4,5,0.1,3,"sil",0.427761149534192
"221",4,5,0.1,3,"db",0.877993187637386
"222",4,5,0.1,3,"ch",1640.29893405549
"223",5,5,0.1,3,"sil",0.414860412965502
"224",5,5,0.1,3,"db",0.777433618230041
"225",5,5,0.1,3,"ch",1640.59561383876
"226",6,5,0.1,3,"sil",0.385313587353735
"227",6,5,0.1,3,"db",0.796219045162713
"228",6,5,0.1,3,"ch",1754.50725484907
"229",7,5,0.1,3,"sil",0.373662964946532
"230",7,5,0.1,3,"db",0.751810068383645
"231",7,5,0.1,3,"ch",1910.93946092358
"232",8,5,0.1,3,"sil",0.420141198226643
"233",8,5,0.1,3,"db",0.805783899392891
"234",8,5,0.1,3,"ch",1904.34352362465
"235",9,5,0.1,3,"sil",0.390664244618097
"236",9,5,0.1,3,"db",0.751427159116329
"237",9,5,0.1,3,"ch",1972.70519419031
"238",10,5,0.1,3,"sil",0.355649767055903
"239",10,5,0.1,3,"db",0.805340736336719
"240",10,5,0.1,3,"ch",1989.07409496403
"241",1,5,0.25,3,"sil",0
"242",1,5,0.25,3,"db",0
"243",1,5,0.25,3,"ch",0
"244",2,5,0.25,3,"sil",0.365079686303468
"245",2,5,0.25,3,"db",1.14188345706352
"246",2,5,0.25,3,"ch",1284.06917063223
"247",3,5,0.25,3,"sil",0.335175974172797
"248",3,5,0.25,3,"db",1.11629344904783
"249",3,5,0.25,3,"ch",1240.98331133952
"250",4,5,0.25,3,"sil",0.380562312750509
"251",4,5,0.25,3,"db",0.951567159913448
"252",4,5,0.25,3,"ch",1461.71577931881
"253",5,5,0.25,3,"sil",0.387602312630188
"254",5,5,0.25,3,"db",0.94589456330215
"255",5,5,0.25,3,"ch",1492.42623179529
"256",6,5,0.25,3,"sil",0.397928290379703
"257",6,5,0.25,3,"db",0.904559600369153
"258",6,5,0.25,3,"ch",1455.9441221384
"259",7,5,0.25,3,"sil",0.35350061231243
"260",7,5,0.25,3,"db",0.842407325145722
"261",7,5,0.25,3,"ch",1439.1253959231
"262",8,5,0.25,3,"sil",0.367596958360971
"263",8,5,0.25,3,"db",0.879726425526912
"264",8,5,0.25,3,"ch",1424.32681741009
"265",9,5,0.25,3,"sil",0.319877318971241
"266",9,5,0.25,3,"db",0.851886337284873
"267",9,5,0.25,3,"ch",1428.32257006847
